Date,Mean
1880-01-01,67.64052345967664
1880-01-02,54.00157208367223
1880-01-03,59.787379841057394
1880-01-04,72.40893199201457
1880-01-05,68.67557990149967
1880-01-06,40.22722120123589
1880-01-07,59.50088417525589
1880-01-08,48.48642791702302
1880-01-09,48.96781148206442
1880-01-10,54.10598501938372
1880-01-11,51.44043571160878
1880-01-12,64.54273506962976
1880-01-13,57.610377251469934
1880-01-14,51.216750164928285
1880-01-15,54.43863232745426
1880-01-16,53.33674327374267
1880-01-17,64.94079073157606
1880-01-18,47.94841736234199
1880-01-19,53.13067701650901
1880-01-20,41.45904260698275
1880-01-21,24.470101841659215
1880-01-22,56.53618595440361
1880-01-23,58.64436198859506
1880-01-24,42.57834979593558
1880-01-25,72.69754623987608
1880-01-26,35.45634325401235
1880-01-27,50.45758517301446
1880-01-28,48.128161499741665
1880-01-29,65.32779214358457
1880-01-30,64.69358769900285
1880-01-31,51.54947425696916
1880-02-01,53.781625196021736
1880-02-02,41.12214252369887
1880-02-03,30.19203531776073
1880-02-04,46.52087850673848
1880-02-05,51.5634896910398
1880-02-06,62.30290680727721
1880-02-07,62.02379848784411
1880-02-08,46.12673182592048
1880-02-09,46.976972494246645
1880-02-10,39.51447034932907
1880-02-11,35.79982062821025
1880-02-12,32.937298093749874
1880-02-13,69.5077539523179
1880-02-14,44.90347818248347
1880-02-15,45.619256983888135
1880-02-16,37.47204639950074
1880-02-17,57.7749035583191
1880-02-18,33.86102152442049
1880-02-19,47.872597197860316
1880-02-20,41.045334388063246
1880-02-21,53.86902497859262
1880-02-22,44.89194862431127
1880-02-23,38.19367815877588
1880-02-24,49.718177716613454
1880-02-25,54.283318705304175
1880-02-26,50.66517222383168
1880-02-27,53.02471897739781
1880-02-28,43.65677906319036
1880-02-29,46.372588340128615
1880-03-01,43.27539552224049
1880-03-02,46.40446838459459
1880-03-03,41.86853717955546
1880-03-04,32.73717397668323
1880-03-05,51.77426142253753
1880-03-06,45.982190637917384
1880-03-07,33.69801653033956
1880-03-08,54.627822555257744
1880-03-09,40.92701635616758
1880-03-10,50.51945395796139
1880-03-11,57.290905621775366
1880-03-12,51.28982910757411
1880-03-13,61.394006845433005
1880-03-14,37.651741796463476
1880-03-15,54.02341641177549
1880-03-16,43.15189909059687
1880-03-17,41.29202850818118
1880-03-18,44.21150335235585
1880-03-19,46.88447467872627
1880-03-20,50.561653422297454
1880-03-21,38.348501592166436
1880-03-22,59.008264869541875
1880-03-23,54.6566243973046
1880-03-24,34.63756313722776
1880-03-25,64.882521937956
1880-03-26,68.95889176030583
1880-03-27,61.78779571159651
1880-03-28,48.200751641876494
1880-03-29,39.292473784894575
1880-03-30,60.54451726931137
1880-03-31,45.9682305302682
1880-04-01,62.224450703824274
1880-04-02,52.0827497807686
1880-04-03,59.76639036483713
1880-04-04,53.56366397174402
1880-04-05,57.06573168191948
1880-04-06,50.10500020720821
1880-04-07,67.85870493905836
1880-04-08,51.2691209270362
1880-04-09,54.019893634447016
1880-04-10,68.83150697056254
1880-04-11,36.52240938857554
1880-04-12,37.29515001514267
1880-04-13,59.69396708158011
1880-04-14,38.2687659488584
1880-04-15,69.43621185649292
1880-04-16,45.863810192402525
1880-04-17,42.525451885592425
1880-04-18,69.22942026480385
1880-04-19,64.80514791434425
1880-04-20,68.6755896042657
1880-04-21,59.060446582753855
1880-04-22,41.38774314945297
1880-04-23,69.10064953099034
1880-04-24,47.31996629048619
1880-04-25,58.02456395796395
1880-04-26,59.47251967773748
1880-04-27,48.44989906909166
1880-04-28,56.1407937034608
1880-04-29,59.222066715665264
1880-04-30,53.7642553115563
1880-05-01,39.00599209415805
1880-05-02,52.98238174206056
1880-05-03,63.2638589668703
1880-05-04,43.05432140268635
1880-05-05,48.503654596723294
1880-05-06,45.64846448278362
1880-05-07,68.49263728479342
1880-05-08,56.722947570124354
1880-05-09,54.0746183624111
1880-05-10,42.30083925554683
1880-05-11,55.392491912918175
1880-05-12,43.25667339342624
1880-05-13,50.31830558274351
1880-05-14,43.64153921621119
1880-05-15,56.764332949465
1880-05-16,55.76590816614941
1880-05-17,47.91701244422005
1880-05-18,53.96006712661645
1880-05-19,39.06938491269494
1880-05-20,35.087424072943946
1880-05-21,54.39391701264537
1880-05-22,51.66673495372529
1880-05-23,56.35031436892106
1880-05-24,73.83144774863942
1880-05-25,59.444794869904136
1880-05-26,40.87177774555842
1880-05-27,61.17016288095853
1880-05-28,36.84092589488479
1880-05-29,45.38415395185291
1880-05-30,49.317583946753686
1880-05-31,67.13342721649366
1880-06-01,42.5524517795156
1880-06-02,41.73561461340986
1880-06-03,49.01547475574568
1880-06-04,43.365217136378924
1880-06-05,61.26635922106507
1880-06-06,39.200684916365766
1880-06-07,38.52531347588898
1880-06-08,45.62179955255566
1880-06-09,45.01967549307695
1880-06-10,69.29532053816986
1880-06-11,59.49420806925761
1880-06-12,50.87551241385191
1880-06-13,37.74564481169832
1880-06-14,58.44362976401547
1880-06-15,39.997846526104354
1880-06-16,34.55228903222388
1880-06-17,61.88029792352302
1880-06-18,53.1694261192485
1880-06-19,59.208588237808186
1880-06-20,53.187276529430214
1880-06-21,58.568306119026914
1880-06-22,43.48974406699853
1880-06-23,39.657571582155356
1880-06-24,56.81594518281627
1880-06-25,41.965903358261585
1880-06-26,43.10450222249799
1880-06-27,45.44467496482657
1880-06-28,50.174791590250564
1880-06-29,46.46006088746516
1880-06-30,36.25048706581981
